No,Test,lprice,SDC PRICE,CELLPRICE,STERLING,INVITRO,UNIPRICE,Sample,,
1,.URINE EXAMINATION,100,,,,,,URINE,,
2,.VISIT,50,,,,,,,,
3,0CAMP,50,,,,,,SERUM;MER,,
4,24 hour Urinary Phosphorus,300,,,,,,24HRURINE,,
5,24 Hr Urinary Creatinine,250,,,,,,24HRURINE,,
6,24 Hr Urinary K,250,,,,,,SERUM,,
7,24 Hr Urinary URIC ACID,250,,,,,,24HRURINE,,
8,24 Urinary Calcium,300,,,,,,24HRURINE,,
9,24 Urinary Cortisol,600,,,,,,24HRURINE,,
10,24 Urinary Protine,250,,,,,,24HRURINE,,
11,24 URINE METANEPHRINE,3000,,,,,,24HRURINE,,
12,24 URINE VMA,1800,,,,,,24HRURINE,,
13,ABG,1000,,,,,,ASK SUPIRIOR,,
14,ACE,1400,,,,,,SERUM,,
15,ACETONE,200,,,,,,SERUM,,
16,ACh RECEPTOR ANTIBODY LEVEL,4000,,,,,,SERUM,,
17,ACID PHOSPHATASE,500,,,,,,SERUM,,
18,"ACTH, Plasma",1100,,,,,,WBEDTA,,
19,ADA,600,,,,,,PLEURALFLUID,,
20,AEC,150,,,,,,WBEDTA,,
21,AFB,200,,,,,,SPUTUM,,
22,AFB 3 Days,600,,,,,,SPUTUM;SPUTUM2;SPUTUM3,,
23,AFP,600,,,,,,SERUM,,
24,ALBUMIN,200,,,,,,SERUM,,
25,Aldosterone,2500,,,,,,SERUM,,
26,ALFA FETO PROTIN,600,,,,,,SERUM,,
27,ALKALINE PHOSPHATASE,200,,,,,,SERUM,,
28,Allergic Screening Drugs,2000,,,,,,SERUM,,
29,Allergic Screening Inhalant,1500,,,,,,SERUM,,
30,Allergic Screening Non-veg Food,1200,,,,,,SERUM,,
31,Allergic Screening VEG Food,1800,,,,,,SERUM,,
32,Allergic Screening Veg Food + Inhalant,2200,,,,,,SERUM,,
33,Allergic Screening Veg Food + Inhalant + nonveg food,3200,,,,,,SERUM,,
34,AMA (Anti Mitochondrial Antibody),1500,,,,,,SERUM,,
35,AMMONIA,600,,,,,,EDTAPLASMA,,
36,AMYLASE,450,,,,,,SERUM,,
37,AMYLASE (Fluid),450,,,,1,,FLUID,,
38,ANA BY ELISA,600,,,,,,SERUM,,
39,ANA BY IF,700,,,,,,SERUM,,
40,ANA Profile(Blot),3400,,,,,,SERUM,,
41,ANCA IF,2000,,,,,,SERUM,,
42,ANCA-C,1800,,,,,,SERUM,,
43,ANCA-P,1800,,,,,,SERUM,,
44,Ante natal Profile G,500,,,,,,WBEDTA;SERUM;URINE,,
45,Ante-natal Profile  Dr Falgoon Parikh,350,,,,,,WBEDTA;SERUM;URINE,,
46,Ante-natal Profile Dr Hina Jayesh Patel,400,,,,,,WBEDTA;SERUM;URINE;CITRATEPLASMA,,
47,Ante-natal Profile Dr Janviben,350,,,,,,WBEDTA;SERUM;URINE,,
48,Ante-natal Profile Dr Pinalben,250,,,,,,WBEDTA;SERUM;URINE,,
49,Anti B2-Glycoprotein I (IgG) Ab,750,,,,,,SERUM,,
50,Anti B2-Glycoprotein I (IgM) Ab,750,,,,,,SERUM,,
51,Anti Borrelia IgG,1000,,,,,,SERUM,,
52,Anti Borrelia IgM,1000,,,,,,SERUM,,
53,ANTI CARDIOLIPIN IgG,450,,,,,,SERUM,,
54,ANTI CARDIOLIPIN IgM,450,,,,,,SERUM,,
55,ANTI DS DNA ELISA,700,,,,,,SERUM,,
56,Anti Gliadin IgA,2000,,,,,,SERUM,,
57,Anti Gliadin IgG,2000,,,,,,SERUM,,
58,ANTI HBc Total,700,,,,,,SERUM,,
59,ANTI HBcAg-IgM,700,,,,,,SERUM,,
60,Anti HbS,700,,,,,,SERUM,,
61,Anti LC (Liver Cytosol)1 Ab,0,,,,,,SERUM,,
62,Anti Mullerian Hormone,1500,,,,,,SERUM,,
63,Anti Phspholipid antibody IgG,450,,,,,,SERUM,,
64,Anti Phspholipid antibody IgM,450,,,,,,SERUM,,
65,Anti SMA (Smooth Muscle Antibody),1400,,,,,,SERUM,,
66,Anti Sperm Antibody,900,,,,,,SERUM,,
67,ANTI THROMBIN III,1200,,,,,,CITRATEPLASMA,,
68,Anti Thyroglobulin Antibody,700,,,,,,SERUM,,
69,ANTI TPO Ab,900,,,,,,SERUM,,
70,ANTICCP,1000,,,,,,SERUM,,
71,APOLIPOPROTEIN A 1,400,,,,,,SERUM,,
72,APTT,400,,,,,,CITRATEPLASMA,,
73,ARTHRITIC PROFILE,600,,,,,,SERUM,,
74,ASCA(Anti Saccharomyces Cervislae) IgG,2100,,,,,,SERUM,,
75,ASCA(Anti Saccharomyces Cervislae) IgM,2100,,,,,,SERUM,,
76,ASCITIC FLUID,600,,,,,,ASCITICFLUID,,
