No,Test,Price
1,.URINE EXAMINATION,80
4,17 Hydroxy PROGESTERON,850
5,24 hour urinary calcium,150
6,24 hour urinary creat,200
7,24 hour Urinary Phosphorus,200
8,24 Hr Urinary K,200
9,24 Hr Urinary URIC ACID,120
10,24 Urinary Cortisol,350
11,24 Urinary Protine,220
12,24 URINE METANEPHRINE,3500
13,24 URINE VMA,1150
15,ACE,1280
16,ACETONE,100
17,ACh RECEPTOR ANTIBODY LEVEL,3500
18,ACID PHOSPHATASE,400
19,"ACTH, Plasma",750
20,ADA,480
21,AEC,100
22,AFB,150
23,AFB 3 Days,450
24,AFP,320
25,ALBUMIN,100
26,Aldosterone,3000
27,ALFA FETO PROTIN,320
28,ALKALINE PHOSPHATASE,100
29,Allergic Screening Drugs,
30,Allergic Screening Inhalant,
31,Allergic Screening Non-veg Food,
32,Allergic Screening VEG Food,
33,Allergic Screening Veg Food + Inhalant,
34,Allergic Screening Veg Food + Inhalant + nonveg food,
35,AMA (Anti Mitochondrial Antibody),
36,AMMONIA,480
37,AMYLASE,250
38,AMYLASE (Fluid),250
39,ANA BY ELISA,450
40,ANA BY IF,500
41,ANA Profile(Blot),3000
42,ANCA IF,1700
43,ANCA-C,1100
44,ANCA-P,1100
45,Ante natal Profile G,500
46,Anti B2-Glycoprotein I (IgG) Ab,700
47,Anti B2-Glycoprotein I (IgM) Ab,700
48,ANTI CARDIOLIPIN IgG,320
49,ANTI CARDIOLIPIN IgM,320
50,ANTI DS DNA ELISA,400
51,Anti Gliadin IgA,2000
52,Anti Gliadin IgG,2000
53,ANTI HBc Total,600
54,ANTI HBcAg-IgM,500
55,Anti HbS,500
56,Anti Mullerian Hormone,1000
57,Anti Phspholipid antibody IgG,350
58,Anti Phspholipid antibody IgM,350
59,Anti SMA (Smooth Muscle Antibody),1400
60,Anti Sperm Antibody,700
61,ANTI THROMBIN III,1200
62,Anti Thyroglobulin Antibody,400
63,ANTI TPO Ab,400
64,ANTICCP,750
65,APOLIPOPROTEIN A 1,400
66,APTT,300
67,ARTHRITIC PROFILE,
68,ASCA(Anti Saccharomyces Cervislae) IgA,1000
69,ASCA(Anti Saccharomyces Cervislae) IgG,1000
70,ASCITIC FLUID,450
71,ASMA (Anti smooth muscle antibody),1500
72,ASO,350
73,"Aspergillus (Galactomannan) Antigen, Serum",1500
74,B HCG,350
75,B12 LEVEL,350
76,BATECT TB CULTURE,1000
77,Beta D Glucan,5000
78,Bicarbonate (HCO3),500
79,BILIRUBIN,100
80,BIOPSY,800
81,BLOOD CS BATECT/ALERT,1000
82,BLOOD CS BATECT/ALERT 3 SMP 1/2 HR APART,3000
83,BLOOD CS BATECT/ALERT ANAEROBIC,1000
84,BNP (Beta type Natriuretic Peptide),1500
85,BRUCELLA Ab(IgG & IgM),900
86,Brucellosis,400
87,C 3,400
88,C 4,450
89,C PEPTIDE,550
90,C PEPTIDE PP,550
91,C/S Sputum,400
92,CA 125,500
93,CA 15.3,750
94,CA 19.9,750
95,Calcitonin,1200
96,CALCIUM,150
97,CBC,180
98,CBC ESR,220
99,CD4 CD8 Count,1150
100,CEA,450
101,Ceruloplasmin(Copper Oxidase),550
102,Chikungunya IgG,400
103,Chikungunya IgM,400
104,Chikungunya RNA Qualitative Detection by PCR,1400
105,CHLORIDE,100
106,CHOLESREROL,100
107,CHOLINESTERASE Plasma,600
108,CHOLINESTERASE RBCs,600
109,CHOLINESTERASE Serum,600
110,ChromoGranin  A (CGA),4000
111,CK MB,400
112,CMV IgG,250
113,CMV IgM,250
114,COMPLETE METABOLIC PANNEL (CMP),
115,Comprehensive health Scan (Female),
116,Comprehensive health Scan (Male),
117,COOMBS' TEST - INDIRECT,400
118,Copper,750
119,CORTISOL 4 PM,350
120,CORTISOL 8 AM,350
121,CORTISOL 8 PM,350
122,Cotinine Urine Test,500
123,Covid IgG,550
124,Covid Profile 1,
125,Covid Profile 2,
126,Covid Profile 3,
127,CPK TOTAL,350
128,CREATININE,100
129,Creatinine Clearance,250
130,CRP,150
131,Cryptococcal Antigen CSF,750
132,CS AFB,700
133,CS CSF,400
134,CS ET,400
135,CS FUNGUS,400
136,CS GENERAL,400
137,CS PUS,400
138,CS SPUTUM,400
139,CS STOOL,400
140,CS SWAB,400
141,CS THROAT SWAB,400
142,CS URINE,400
143,CSF OLIGLOCONAL BAND,2800
144,CSF R&M,500
145,Cyclosporin,2000
146,CYTOLOGY,600
147,D 3,500
148,D-DIMER,700
149,Dengue IgG (Elisa),350
150,Dengue IgM (ELISA),350
151,Dengue NS1Ag (Elisa),600
152,Dengue PCR,1400
153,DENGUE Rapid,500
154,DHEA -S,400
155,Diabetic Profile,
156,DIC profile,
157,Digoxin (Lanoxin),480
158,Dihydrotestosterone (DHT),800
159,DIRECT COOMBS TEST,400
160,Double Marker Profile (9 to 13.5 Week),1400
161,ELECTROLYTES,300
162,EMMERGANCY CHARGES,
163,ESR,50
164,ESTRADIOL (E 2),300
165,ESTRIOL E3 (FREE/UNCONJUGATED),650
166,FACTOR V LEVEL,3000
167,FBS,30
168,FBS & PPBS,60
