,Test,Price_old,Aapm,Price,Cap_Check,Bottom_Check
1,URINE EXAMINATION,80,250,100,150.00,0
2,17 Hydroxy PROGESTERON,850,1100,"1,050",50.00,-10
3,24 hour urinary calcium,150,250,200,50.00,10
4,24 hour urinary creat,200,300,250,50.00,0
5,24 hour Urinary Phosphorus,200,250,250,0.00,0
6,24 Hr Urinary K,200,250,250,0.00,0
7,24 Hr Urinary URIC ACID,120,250,150,100.00,0
8,24 Urinary Cortisol,350,700,450,250.00,10
9,24 Urinary Protine,220,300,280,20.00,4
11,24 URINE VMA,1150,2500,"1,450","1,050.00",10
13,ACE,1280,1500,"1,500",0.00,-80
14,ACETONE,100,250,120,130.00,-4
15,ACh RECEPTOR ANTIBODY LEVEL,3500,5000,"4,380",620.00,4
16,ACID PHOSPHATASE,400,600,500,100.00,0
17,"ACTH, Plasma",750,1300,940,360.00,2
18,ADA,480,600,600,0.00,0
19,AEC,100,300,120,180.00,-4
20,AFB,150,250,200,50.00,10
21,AFB 3 Days,450,750,550,200.00,-10
22,AFP,320,700,400,300.00,0
23,ALBUMIN,100,250,120,130.00,-4
25,ALFA FETO PROTIN,320,700,400,300.00,0
26,ALKALINE PHOSPHATASE,100,250,120,130.00,-4
27,Allergic Screening Drugs,1650,2000,"2,000",0.00,-50
28,Allergic Screening Inhalant,1400,1500,"1,500",0.00,-200
29,Allergic Screening Non-veg Food,1150,1200,"1,200",0.00,-190
30,Allergic Screening VEG Food,1700,1800,"1,800",0.00,-260
31,Allergic Screening Veg Food + Inhalant,2100,2200,"2,200",0.00,-340
32,Allergic Screening Veg Food + Inhalant + nonveg food,3000,3200,"3,200",0.00,-440
34,AMMONIA,480,600,600,0.00,0
35,AMYLASE,250,600,320,280.00,6
36,AMYLASE (Fluid),250,600,320,280.00,6
37,ANA BY ELISA,450,800,570,230.00,6
38,ANA BY IF,500,800,640,160.00,12
39,ANA Profile(Blot),3000,3800,"3,750",50.00,0
40,ANCA IF,1700,2000,"2,000",0.00,-100
41,ANCA-C,1100,2000,"1,380",620.00,4
42,ANCA-P,1100,2000,"1,380",620.00,4
43,Ante natal Profile,500,800,650,150.00,20
44,Anti B2-Glycoprotein I (IgG) Ab,700,1400,900,500.00,20
45,Anti B2-Glycoprotein I (IgM) Ab,700,1400,900,500.00,20
46,ANTI CARDIOLIPIN IgG,320,600,400,200.00,0
47,ANTI CARDIOLIPIN IgM,320,600,400,200.00,0
48,ANTI DS DNA ELISA,400,800,500,300.00,0
51,ANTI HBc Total,600,800,750,50.00,0
52,ANTI HBcAg-IgM,500,1600,640,960.00,12
53,Anti HbS,500,800,640,160.00,12
54,Anti Mullerian Hormone,1000,1400,"1,250",150.00,0
55,Anti Phspholipid antibody IgG,350,600,440,160.00,2
56,Anti Phspholipid antibody IgM,350,600,440,160.00,2
57,Anti SMA (Smooth Muscle Antibody),1400,1500,"1,500",0.00,-200
58,Anti Sperm Antibody,700,800,800,0.00,-60
59,ANTI THROMBIN III,1200,1400,"1,400",0.00,-80
60,Anti Thyroglobulin Antibody,400,600,500,100.00,0
61,ANTI TPO Ab,400,600,500,100.00,0
62,ANTICCP,750,1000,940,60.00,2
63,APOLIPOPROTEIN A 1,400,600,500,100.00,0
64,APTT,300,500,380,120.00,4
65,ARTHRITIC PROFILE,550,800,700,100.00,10
66,ASCA(Anti Saccharomyces Cervislae) IgA,1000,2300,"1,250","1,050.00",0
67,ASCA(Anti Saccharomyces Cervislae) IgG,1000,2300,"1,250","1,050.00",0
68,ASCITIC FLUID,450,600,580,20.00,14
69,ASMA (Anti smooth muscle antibody),1500,1500,"1,500",0.00,-300
70,ASO,350,600,450,150.00,10
71,"Aspergillus (Galactomannan) Antigen, Serum",1500,1500,"1,500",0.00,-300
72,B HCG,350,600,450,150.00,10
73,B12 LEVEL,350,900,450,450.00,10
74,BATECT TB CULTURE,1000,1500,"1,250",250.00,0
75,Beta D Glucan,5000,6000,"6,000",0.00,-200
76,Bicarbonate (HCO3),500,1200,650,550.00,20
77,BILIRUBIN,100,250,120,130.00,-4
78,BIOPSY,800,1500,"1,000",500.00,0
79,BLOOD CS BATECT/ALERT,1000,1500,"1,250",250.00,0
80,BLOOD CS BATECT/ALERT 3 SMP 1/2 HR APART,3000,4500,"3,750",750.00,0
81,BLOOD CS BATECT/ALERT ANAEROBIC,1000,1500,"1,250",250.00,0
82,BNP (Beta type Natriuretic Peptide),1500,2000,"1,880",120.00,4
83,BRUCELLA Ab(IgG & IgM),900,1200,"1,120",80.00,-4
84,Brucellosis,400,600,500,100.00,0
85,C 3,400,600,500,100.00,0
86,C 4,450,600,560,40.00,-2
87,C PEPTIDE,550,1300,700,600.00,10
88,C PEPTIDE PP,550,1300,700,600.00,10
89,C/S Sputum,400,1200,500,700.00,0
90,CA 125,500,800,640,160.00,12
91,CA 15.3,750,1200,950,250.00,10
92,CA 19.9,750,1200,950,250.00,10
93,Calcitonin,1200,1300,"1,300",0.00,-160
94,CALCIUM,150,250,200,50.00,10
95,Cardiac Profile,2000,4000,"2,500","1,500.00",0
96,CBC,180,350,220,130.00,-4
97,CBC ESR,220,450,280,170.00,4
98,CD4 CD8 Count,1150,2000,"1,450",550.00,10
99,CEA,450,800,580,220.00,14
100,Ceruloplasmin(Copper Oxidase),550,800,700,100.00,10
101,Chikungunya IgG,400,800,500,300.00,0
102,Chikungunya IgM,400,800,500,300.00,0
103,Chikungunya RNA Qualitative Detection by PCR,1400,2200,"1,750",450.00,0
104,CHLORIDE,100,250,120,130.00,-4
105,CHOLESREROL,100,250,120,130.00,-4
106,CHOLINESTERASE Plasma,600,800,750,50.00,0
107,CHOLINESTERASE RBCs,600,800,750,50.00,0
108,CHOLINESTERASE Serum,600,800,750,50.00,0
110,CK MB,400,700,500,200.00,0
111,CMV IgG,250,400,320,80.00,6
112,CMV IgM,250,400,320,80.00,6
116,COOMBS' TEST - INDIRECT,400,600,500,100.00,0
117,Copper,750,1000,940,60.00,2
118,CORTISOL 4 PM,350,700,440,260.00,2
119,CORTISOL 8 AM,350,700,440,260.00,2
120,CORTISOL 8 PM,350,700,440,260.00,2
122,Covid IgG,550,550,550,0.00,-110
126,CPK TOTAL,350,700,450,250.00,10
127,CREATININE,100,250,120,130.00,-4
128,Creatinine Clearance,250,500,320,180.00,6
129,CRP,150,450,200,250.00,10
130,Cryptococcal Antigen CSF,750,1100,940,160.00,2
131,CS AFB,700,1400,880,520.00,4
132,CS CSF,400,1200,500,700.00,0
133,CS ET,400,1200,500,700.00,0
134,CS FUNGUS,400,1200,500,700.00,0
135,CS GENERAL,400,1200,500,700.00,0
136,CS PUS,400,1200,500,700.00,0
137,CS SPUTUM,400,1200,500,700.00,0
138,CS STOOL,400,1200,500,700.00,0
139,CS SWAB,400,1200,500,700.00,0
140,CS THROAT SWAB,400,1200,500,700.00,0
141,CS URINE,400,1200,500,700.00,0
143,CSF R&M,500,700,620,80.00,-4
144,Cyclosporin,2000,2000,"2,000",0.00,-400
145,CYTOLOGY,600,1000,750,250.00,0
146,D 3,500,1400,650,750.00,20
147,D-DIMER,700,900,880,20.00,4
148,Dengue IgG (Elisa),350,700,450,250.00,10
149,Dengue IgM (ELISA),350,700,450,250.00,10
150,Dengue NS1Ag (Elisa),600,700,700,0.00,-40
151,Dengue PCR,1400,2200,"1,750",450.00,0
152,DENGUE Rapid,500,700,620,80.00,-4
153,DHEA -S,400,750,500,250.00,0
154,Diabetic Profile,850,1250,"1,080",170.00,14
156,Digoxin (Lanoxin),480,800,600,200.00,0
157,Dihydrotestosterone (DHT),800,1000,"1,000",0.00,0
158,DIRECT COOMBS TEST,400,600,500,100.00,0
159,Double Marker Profile (9 to 13.5 Week),1400,2000,"1,750",250.00,0
160,ELECTROLYTES,300,750,380,370.00,4
161,ESR,50,100,60,40.00,-2
162,ESTRADIOL (E 2),300,550,380,170.00,4
163,ESTRIOL E3 (FREE/UNCONJUGATED),650,1000,820,180.00,6
164,FACTOR V LEVEL,3000,4000,"3,750",250.00,0
165,FBS,30,80,40,40.00,2
166,FBS & PPBS,60,160,80,80.00,4
167,FBS/PG2BS,60,160,80,80.00,4
168,FDP,600,900,750,150.00,0
169,FERITIN,350,750,450,300.00,10
170,Fever Profile,350,600,450,150.00,10
171,Fever Profile with Dengue (Rapid),1100,2750,"1,400","1,350.00",20
172,Fever Profile with Dengue (ELISA),1800,4150,"2,250","1,900.00",0
173,Fever Profile with Dengue (RTPCR),2250,4250,"2,850","1,400.00",30
172,FIBRINOGEN,450,750,570,180.00,6
173,Fluid Cytology (Cell block),1000,1000,"1,000",0.00,-200
174,Fluid RM,450,600,560,40.00,-2
175,FNAC,800,1200,"1,000",200.00,0
176,FOLIC ACID,480,800,600,200.00,0
178,FREE PSA,600,1000,750,250.00,0
179,Free Testosterone,600,900,750,150.00,0
180,FSH,250,550,320,230.00,6
181,"FSH Pooled (0,20,60)",300,600,380,220.00,4
182,FT3,200,300,250,50.00,0
183,FT3 FT4 TSH,550,850,700,150.00,10
184,FT4,200,300,250,50.00,0
185,FT4 TSH,350,450,440,10.00,2
186,G6PD,350,550,440,110.00,2
188,GENE X PERT TB,2200,2500,"2,500",0.00,-200
189,GFT ESTIMATED (eGFR),300,400,370,30.00,-4
190,GGT (Gamma GT),200,550,250,300.00,0
191,GLYCOSYLATED HB(HbA1C),250,600,320,280.00,6
192,Gram Stain.,150,250,200,50.00,10
193,GROUP,80,200,100,100.00,0
194,GROWTH HORMONE,500,800,630,170.00,4
195,GTT 3 Sample,100,250,140,110.00,12
196,GTT 5 Sample,150,400,200,200.00,10
198,H Pylori IgA,400,800,500,300.00,0
199,H Pylori IgG,400,800,500,300.00,0
200,H Pylori IgM,400,800,500,300.00,0
201,HAV IgM,400,800,500,300.00,0
202,HBA1C,250,600,320,280.00,6
203,HBeAG,400,800,500,300.00,0
204,HBsAg,150,300,200,100.00,10
205,HBsAg BY ELISA,200,300,250,50.00,0
206,HBV DNA quantitative RT PCR,3500,5000,"4,380",620.00,4
212,HCV (Anti HCV),350,700,450,250.00,10
213,HDL Cholesterol,120,300,150,150.00,0
214,Health Scan I,450,1000,570,430.00,6
215,Health Scan II,850,2000,"1,080",920.00,14
216,Health Scan III,1200,3000,"1,500","1,500.00",0
217,Health Scan IV FOR Female,2000,4000,"2,500","1,500.00",0
