1,.URINE EXAMINATION,80,
2,.VISIT,,
3,0CAMP,,
4,17 Hydroxy PROGESTERON,850,
5,24 hour urinary calcium,150,
6,24 hour urinary creat,200,
7,24 hour Urinary Phosphorus,200,
8,24 Hr Urinary K,200,
9,24 Hr Urinary URIC ACID,120,
10,24 Urinary Cortisol,350,
11,24 Urinary Protine,220,
12,24 URINE METANEPHRINE,3500,
13,24 URINE VMA,1150,
14,ABG,,
15,ACE,1280,
16,ACETONE,100,
17,ACh RECEPTOR ANTIBODY LEVEL,3500,
18,ACID PHOSPHATASE,400,
19,"ACTH, Plasma",750,
20,ADA,480,
21,AEC,100,
22,AFB,150,
23,AFB 3 Days,450,
24,AFP,320,
25,ALBUMIN,100,
26,Aldosterone,3000,
27,ALFA FETO PROTIN,320,
28,ALKALINE PHOSPHATASE,100,
29,Allergic Screening Drugs,,
30,Allergic Screening Inhalant,,
31,Allergic Screening Non-veg Food,,
32,Allergic Screening VEG Food,,
33,Allergic Screening Veg Food + Inhalant,,
34,Allergic Screening Veg Food + Inhalant + nonveg food,,
35,AMA (Anti Mitochondrial Antibody),,
36,AMMONIA,480,
37,AMYLASE,250,
38,AMYLASE (Fluid),250,
39,ANA BY ELISA,450,
40,ANA BY IF,500,
41,ANA Profile(Blot),3000,
42,ANCA IF,1700,
43,ANCA-C,1100,
44,ANCA-P,1100,
45,Ante natal Profile G,500,
46,Anti B2-Glycoprotein I (IgG) Ab,700,
47,Anti B2-Glycoprotein I (IgM) Ab,700,
48,Anti Borrelia IgG,,
49,Anti Borrelia IgM,,
50,ANTI CARDIOLIPIN IgG,320,
51,ANTI CARDIOLIPIN IgM,320,
52,ANTI DS DNA ELISA,400,
53,Anti Gliadin IgA,2000,
54,Anti Gliadin IgG,2000,
55,ANTI HBc Total,600,
56,ANTI HBcAg-IgM,500,
57,Anti HbS,500,
58,Anti LC (Liver Cytosol)1 Ab,,
59,Anti Mullerian Hormone,1000,
60,Anti Phspholipid antibody IgG,350,
61,Anti Phspholipid antibody IgM,350,
62,Anti SMA (Smooth Muscle Antibody),1400,
63,Anti Sperm Antibody,700,
64,ANTI THROMBIN III,1200,
65,Anti Thyroglobulin Antibody,400,
66,ANTI TPO Ab,400,
67,ANTICCP,750,
68,APOLIPOPROTEIN A 1,400,
69,APTT,300,
70,ARTHRITIC PROFILE,,
71,ASCA(Anti Saccharomyces Cervislae) IgA,1000,
72,ASCA(Anti Saccharomyces Cervislae) IgG,1000,
73,ASCITIC FLUID,450,
74,ASMA (Anti smooth muscle antibody),1500,
75,ASO,350,
76,"Aspergillus (Galactomannan) Antigen, Serum",1500,
77,B HCG,350,
78,B12 LEVEL,350,
79,BATECT TB CULTURE,1000,
80,Beta D Glucan,5000,
81,Bicarbonate (HCO3),500,
82,BILIRUBIN,100,
83,BIOPSY,800,
84,BLOOD CS BATECT/ALERT,1000,
85,BLOOD CS BATECT/ALERT 3 SMP 1/2 HR APART,3000,
86,BLOOD CS BATECT/ALERT ANAEROBIC,1000,
87,BNP (Beta type Natriuretic Peptide),1500,
88,BRUCELLA Ab(IgG & IgM),900,
